epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27.2164,0.74317,0.66129,0.93548,0.93655,0.9137,0.93612,0.61228,1.18633,1.22096,1.24757,0.000704644,0.000704644,0.000704644
43,27.7717,0.74592,0.62584,0.95052,0.93655,0.9137,0.93612,0.61228,1.18633,1.22096,1.24757,0.000709599,0.000709599,0.000709599
44,28.3251,0.76614,0.64297,0.96786,0.93974,0.90723,0.93612,0.61844,1.16373,1.16721,1.24446,0.000713987,0.000713987,0.000713987
45,28.8899,0.76194,0.65379,0.96383,0.93974,0.90723,0.93612,0.61844,1.16373,1.16721,1.24446,0.00071781,0.00071781,0.00071781
46,29.4698,0.68965,0.6133,0.89563,0.92164,0.90711,0.93505,0.63335,1.17007,1.11519,1.24247,0.000721066,0.000721066,0.000721066
47,30.0338,0.72464,0.64479,0.96497,0.92164,0.90711,0.93505,0.63335,1.17007,1.11519,1.24247,0.000723757,0.000723757,0.000723757
48,30.6064,0.71686,0.66111,0.98035,0.88299,0.86905,0.91945,0.61067,1.17139,1.0847,1.2436,0.000725882,0.000725882,0.000725882
49,31.1642,0.7194,0.61307,0.92474,0.88299,0.86905,0.91945,0.61067,1.17139,1.0847,1.2436,0.000727441,0.000727441,0.000727441
50,31.738,0.6891,0.60354,0.93891,0.89341,0.93004,0.94374,0.62973,1.1838,1.03694,1.2974,0.000728434,0.000728434,0.000728434
51,32.2947,0.63267,0.60976,0.91398,0.89341,0.93004,0.94374,0.62973,1.1838,1.03694,1.2974,0.000721645,0.000721645,0.000721645
52,32.8678,0.71355,0.61331,0.96055,0.90248,0.93783,0.95304,0.62343,1.24158,0.92236,1.34314,0.000707498,0.000707498,0.000707498
53,33.4534,0.71297,0.60127,0.94242,0.90248,0.93783,0.95304,0.62343,1.24158,0.92236,1.34314,0.000693351,0.000693351,0.000693351
54,34.0501,0.7167,0.60227,0.94369,0.89915,0.94322,0.96405,0.63947,1.25027,0.86517,1.33958,0.000679204,0.000679204,0.000679204
55,34.6817,0.65117,0.57478,0.93128,0.89915,0.94322,0.96405,0.63947,1.25027,0.86517,1.33958,0.000665057,0.000665057,0.000665057
56,35.317,0.68781,0.6247,0.9166,0.97052,0.90954,0.97346,0.64873,1.22032,0.8083,1.39225,0.000650909,0.000650909,0.000650909
57,35.9441,0.62851,0.56161,0.90792,0.97052,0.90954,0.97346,0.64873,1.22032,0.8083,1.39225,0.000636762,0.000636762,0.000636762
58,36.595,0.64406,0.56846,0.90356,0.97186,0.90772,0.98463,0.63586,1.19051,0.79175,1.37589,0.000622615,0.000622615,0.000622615
59,37.3076,0.62193,0.55589,0.90964,0.97186,0.90772,0.98463,0.63586,1.19051,0.79175,1.37589,0.000608468,0.000608468,0.000608468
60,37.8952,0.62157,0.57507,0.92985,0.98305,0.88982,0.96875,0.66896,1.14392,0.80144,1.31584,0.000594321,0.000594321,0.000594321
61,38.5151,0.62797,0.56886,0.92497,0.98305,0.88982,0.96875,0.66896,1.14392,0.80144,1.31584,0.000580174,0.000580174,0.000580174
62,39.2067,0.62828,0.55899,0.90615,0.92343,0.91319,0.96249,0.67134,1.16452,0.79647,1.30733,0.000566027,0.000566027,0.000566027
63,39.8996,0.58597,0.53207,0.89605,0.92343,0.91319,0.96249,0.67134,1.16452,0.79647,1.30733,0.00055188,0.00055188,0.00055188
64,40.5313,0.6434,0.57697,0.90874,0.92631,0.91592,0.96584,0.65861,1.16541,0.77695,1.34313,0.000537733,0.000537733,0.000537733
65,41.2399,0.58405,0.55152,0.89241,0.92631,0.91592,0.96584,0.65861,1.16541,0.77695,1.34313,0.000523586,0.000523586,0.000523586
66,41.902,0.59767,0.56597,0.90847,0.98553,0.89997,0.98917,0.66459,1.21055,0.74223,1.3573,0.000509438,0.000509438,0.000509438
67,42.5524,0.57605,0.58001,0.88999,0.98553,0.89997,0.98917,0.66459,1.21055,0.74223,1.3573,0.000495291,0.000495291,0.000495291
68,43.2801,0.58332,0.54366,0.90247,0.98771,0.89605,0.98917,0.68238,1.2023,0.70126,1.28028,0.000481144,0.000481144,0.000481144
69,44.0092,0.55808,0.52589,0.89114,0.98771,0.89605,0.98917,0.68238,1.2023,0.70126,1.28028,0.000466997,0.000466997,0.000466997
70,44.7289,0.55975,0.52646,0.9012,0.94921,0.97278,0.995,0.68901,1.20082,0.66534,1.31919,0.00045285,0.00045285,0.00045285
71,45.4286,0.56046,0.52755,0.90065,0.94921,0.97278,0.995,0.68901,1.20082,0.66534,1.31919,0.000438703,0.000438703,0.000438703
72,46.1369,0.54909,0.53751,0.88925,0.98156,0.96458,0.995,0.65302,1.16717,0.64146,1.33877,0.000424556,0.000424556,0.000424556
73,46.8297,0.57457,0.54228,0.90415,0.98156,0.96458,0.995,0.65302,1.16717,0.64146,1.33877,0.000410409,0.000410409,0.000410409
74,47.5485,0.55871,0.54189,0.88676,0.98417,0.95883,0.995,0.65829,1.21514,0.64812,1.3938,0.000396262,0.000396262,0.000396262
75,48.2401,0.55944,0.53401,0.90739,0.98417,0.95883,0.995,0.65829,1.21514,0.64812,1.3938,0.000382115,0.000382115,0.000382115
76,48.9414,0.51567,0.4962,0.87489,0.98967,0.95683,0.995,0.65294,1.20931,0.6602,1.40189,0.000367967,0.000367967,0.000367967
77,49.6375,0.57345,0.52416,0.88455,0.98967,0.95683,0.995,0.65294,1.20931,0.6602,1.40189,0.00035382,0.00035382,0.00035382
78,50.364,0.53998,0.52694,0.90199,0.98532,0.95762,0.995,0.662,1.19053,0.66898,1.412,0.000339673,0.000339673,0.000339673
79,51.0704,0.5314,0.52017,0.87042,0.98532,0.95762,0.995,0.662,1.19053,0.66898,1.412,0.000325526,0.000325526,0.000325526
80,51.783,0.54636,0.53581,0.89381,0.98527,0.95706,0.995,0.66876,1.19458,0.67342,1.42025,0.000311379,0.000311379,0.000311379
81,52.4922,0.54087,0.49146,0.86923,0.98527,0.95706,0.995,0.66876,1.19458,0.67342,1.42025,0.000297232,0.000297232,0.000297232
82,53.1994,0.49798,0.49156,0.87454,0.98583,0.95633,0.995,0.6652,1.21465,0.67658,1.43595,0.000283085,0.000283085,0.000283085
83,53.9041,0.51115,0.49586,0.87865,0.98583,0.95633,0.995,0.6652,1.21465,0.67658,1.43595,0.000268938,0.000268938,0.000268938
84,54.7326,0.50156,0.49057,0.87403,0.98825,0.95595,0.995,0.66754,1.21423,0.65742,1.42299,0.000254791,0.000254791,0.000254791
85,55.6511,0.51117,0.49164,0.86753,0.98825,0.95595,0.995,0.66754,1.21423,0.65742,1.42299,0.000240644,0.000240644,0.000240644
86,56.4992,0.55175,0.50308,0.87264,0.98986,0.95543,0.995,0.66697,1.18732,0.65478,1.39804,0.000226497,0.000226497,0.000226497
87,57.2201,0.53535,0.49706,0.87471,0.98986,0.95543,0.995,0.66697,1.18732,0.65478,1.39804,0.000212349,0.000212349,0.000212349
88,57.9945,0.53263,0.49445,0.87565,0.98876,0.95497,0.995,0.66097,1.16319,0.64293,1.38268,0.000198202,0.000198202,0.000198202
89,58.7888,0.49854,0.48856,0.89175,0.98876,0.95497,0.995,0.66097,1.16319,0.64293,1.38268,0.000184055,0.000184055,0.000184055
90,59.7902,0.52059,0.51214,0.89721,0.98749,0.95493,0.995,0.66397,1.15661,0.63752,1.3606,0.000169908,0.000169908,0.000169908
91,61.8272,0.47163,0.5733,0.85785,0.98749,0.95493,0.995,0.66397,1.15661,0.63752,1.3606,0.000155761,0.000155761,0.000155761
92,62.7418,0.55927,0.634,0.91524,0.98651,0.9548,0.995,0.67215,1.16764,0.63627,1.36615,0.000141614,0.000141614,0.000141614
93,63.4364,0.47452,0.57549,0.86309,0.98651,0.9548,0.995,0.67215,1.16764,0.63627,1.36615,0.000127467,0.000127467,0.000127467
94,64.1621,0.48339,0.58471,0.85051,0.9845,0.95471,0.995,0.6572,1.17999,0.65847,1.37767,0.00011332,0.00011332,0.00011332
95,64.8655,0.43775,0.53446,0.82986,0.9845,0.95471,0.995,0.6572,1.17999,0.65847,1.37767,9.91726e-05,9.91726e-05,9.91726e-05
96,65.5911,0.48079,0.53797,0.84643,0.98307,0.95476,0.995,0.65246,1.18662,0.65814,1.38701,8.50255e-05,8.50255e-05,8.50255e-05
97,66.2834,0.47126,0.52905,0.86292,0.98307,0.95476,0.995,0.65246,1.18662,0.65814,1.38701,7.08784e-05,7.08784e-05,7.08784e-05
98,67.0037,0.48284,0.52357,0.85466,0.98151,0.95448,0.995,0.66339,1.17776,0.65148,1.3816,5.67313e-05,5.67313e-05,5.67313e-05
99,67.7013,0.45938,0.52278,0.83409,0.98151,0.95448,0.995,0.66339,1.17776,0.65148,1.3816,4.25842e-05,4.25842e-05,4.25842e-05
100,68.4274,0.49516,0.53865,0.87057,0.9798,0.95422,0.995,0.6688,1.17459,0.64506,1.3817,2.84371e-05,2.84371e-05,2.84371e-05
