epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1862,1.41879,3.08478,1.35806,0.01621,0.82143,0.19429,0.12485,1.18781,2.95161,1.3255,1.429e-05,1.429e-05,1.429e-05
2,2.74995,1.33396,3.10795,1.27735,0.01639,0.82143,0.27444,0.1876,1.16395,2.89986,1.28465,4.24456e-05,4.24456e-05,4.24456e-05
3,3.30052,1.28229,2.99599,1.27024,0.01854,0.95238,0.35553,0.23121,1.1363,2.90265,1.24319,7.00353e-05,7.00353e-05,7.00353e-05
4,3.8431,1.20491,2.91349,1.26533,0.02016,1,0.39397,0.25324,1.10552,2.92064,1.18041,9.70591e-05,9.70591e-05,9.70591e-05
5,4.39194,1.11605,2.87885,1.15363,0.02013,1,0.48721,0.30141,1.11666,2.90027,1.16615,0.000123517,0.000123517,0.000123517
6,4.94845,1.0725,2.67626,1.11895,0.02036,1,0.50904,0.31946,1.16171,2.83399,1.16566,0.000149409,0.000149409,0.000149409
7,5.4956,1.01664,2.36075,1.09961,0.0199,1,0.52829,0.33857,1.12682,2.73642,1.13228,0.000174735,0.000174735,0.000174735
8,6.03764,1.06753,2.09401,1.14882,0.01983,1,0.56862,0.36916,1.16224,2.62707,1.15331,0.000199496,0.000199496,0.000199496
9,6.5655,1.0491,1.87304,1.13169,0.01984,1,0.62134,0.42046,1.14423,2.58949,1.12878,0.00022369,0.00022369,0.00022369
10,7.10698,0.99611,1.78,1.16155,0.01966,1,0.65579,0.45849,1.13498,2.5466,1.12173,0.000247318,0.000247318,0.000247318
11,7.65766,1.01532,1.68332,1.11206,0.01971,1,0.67837,0.47155,1.11403,2.50053,1.1148,0.000270381,0.000270381,0.000270381
12,8.20252,1.04371,1.60204,1.13237,0.3419,0.82143,0.69891,0.48473,1.12364,2.47736,1.16139,0.000292878,0.000292878,0.000292878
13,8.76815,1.0111,1.51689,1.15801,0.55657,0.71825,0.74425,0.52996,1.13977,2.43141,1.18085,0.000314809,0.000314809,0.000314809
14,9.32056,0.99508,1.36565,1.11108,0.8289,0.53125,0.76528,0.55305,1.17444,2.33191,1.19211,0.000336174,0.000336174,0.000336174
15,9.87197,0.96583,1.26127,1.10279,0.84399,0.60681,0.81324,0.56448,1.2914,2.13961,1.24416,0.000356973,0.000356973,0.000356973
16,10.4188,0.99666,1.21567,1.15807,0.73059,0.74065,0.83035,0.58437,1.32682,1.87992,1.311,0.000377206,0.000377206,0.000377206
17,10.9657,1.06129,1.13881,1.14245,0.71991,0.75707,0.83972,0.57866,1.30957,1.70746,1.29099,0.000396873,0.000396873,0.000396873
