epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97257,1.41879,3.08478,1.35806,0.01621,0.82143,0.19304,0.12378,1.18781,2.95161,1.3255,1.429e-05,1.429e-05,1.429e-05
2,5.47847,1.33396,3.10795,1.27735,0.01639,0.82143,0.30595,0.2146,1.16533,2.90124,1.28501,4.26578e-05,4.26578e-05,4.26578e-05
3,8.00642,1.28233,2.99586,1.26984,0.01854,0.95238,0.35337,0.22897,1.13289,2.90667,1.24136,7.07426e-05,7.07426e-05,7.07426e-05
4,10.4921,1.20014,2.91255,1.26326,0.01994,1,0.39998,0.25901,1.10155,2.92327,1.17559,9.85446e-05,9.85446e-05,9.85446e-05
5,13.0187,1.11421,2.88272,1.15387,0.02041,1,0.49076,0.2981,1.14303,2.88842,1.17344,0.000126064,0.000126064,0.000126064
6,15.6995,1.07371,2.68043,1.12535,0.02027,1,0.51491,0.32791,1.1724,2.81201,1.15971,0.0001533,0.0001533,0.0001533
7,18.2069,1.01789,2.35802,1.10165,0.02003,1,0.51531,0.33723,1.11108,2.73777,1.13936,0.000180253,0.000180253,0.000180253
8,20.6692,1.05739,2.09275,1.15002,0.0197,1,0.54616,0.37091,1.11553,2.64153,1.14262,0.000206923,0.000206923,0.000206923
9,23.1097,1.04791,1.84236,1.12851,0.01959,1,0.61677,0.42672,1.06816,2.59445,1.10849,0.00023331,0.00023331,0.00023331
10,25.55,0.9866,1.7442,1.16668,0.01962,1,0.61246,0.42413,1.0802,2.54539,1.11482,0.000259414,0.000259414,0.000259414
11,27.9932,1.01477,1.64572,1.11634,0.30539,0.95238,0.65187,0.44595,1.1001,2.49662,1.11445,0.000285236,0.000285236,0.000285236
12,30.4542,1.04345,1.54692,1.13461,0.6035,0.46825,0.63322,0.43179,1.12507,2.4613,1.16054,0.000310774,0.000310774,0.000310774
13,32.9104,1.00211,1.48628,1.15326,0.74056,0.40169,0.61774,0.41507,1.19523,2.44246,1.25349,0.000336029,0.000336029,0.000336029
14,35.3753,0.99325,1.33763,1.11361,0.75206,0.27778,0.66994,0.45833,1.24522,2.37204,1.29296,0.000361002,0.000361002,0.000361002
15,37.8625,0.95407,1.21679,1.10632,0.67346,0.38759,0.74224,0.50254,1.2762,2.2255,1.29416,0.000385691,0.000385691,0.000385691
16,40.3274,1.01022,1.17707,1.16215,0.71551,0.62193,0.7723,0.53509,1.22671,2.05276,1.24608,0.000410098,0.000410098,0.000410098
17,42.8268,1.04528,1.1161,1.13662,0.74893,0.63642,0.83364,0.57774,1.2149,1.93323,1.2123,0.000434222,0.000434222,0.000434222
18,45.2797,1.06775,1.07212,1.17123,0.80937,0.64627,0.84894,0.55566,1.27563,1.79324,1.24811,0.000458062,0.000458062,0.000458062
