epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.68438,1.41879,3.08478,1.35806,0.01621,0.82143,0.19429,0.12485,1.18781,2.95161,1.3255,1.429e-05,1.429e-05,1.429e-05
2,4.4063,1.33396,3.10795,1.27735,0.01639,0.82143,0.30717,0.21581,1.16533,2.90124,1.28501,4.26578e-05,4.26578e-05,4.26578e-05
3,5.08626,1.28233,2.99586,1.26984,0.01854,0.95238,0.35391,0.22998,1.13289,2.90667,1.24136,7.07426e-05,7.07426e-05,7.07426e-05
4,5.75687,1.20014,2.91255,1.26326,0.01994,1,0.39998,0.25959,1.10155,2.92327,1.17559,9.85446e-05,9.85446e-05,9.85446e-05
5,6.44823,1.11421,2.88272,1.15387,0.02041,1,0.49076,0.29897,1.14303,2.88842,1.17344,0.000126064,0.000126064,0.000126064
6,7.35537,1.07371,2.68043,1.12535,0.02029,1,0.51424,0.32857,1.17117,2.8111,1.15982,0.0001533,0.0001533,0.0001533
7,8.02094,1.01828,2.3582,1.10197,0.02006,1,0.51544,0.33835,1.11323,2.7409,1.14322,0.000180253,0.000180253,0.000180253
8,8.67818,1.05635,2.09374,1.15047,0.01961,1,0.54616,0.37127,1.11059,2.64607,1.14076,0.000206923,0.000206923,0.000206923
9,9.31119,1.05009,1.84171,1.12897,0.01966,1,0.61075,0.42407,1.06061,2.59518,1.1098,0.00023331,0.00023331,0.00023331
10,9.9642,0.98605,1.74446,1.16703,0.01957,1,0.6409,0.44761,1.09801,2.53969,1.11686,0.000259414,0.000259414,0.000259414
11,10.7307,1.01106,1.64498,1.11433,0.33249,0.92271,0.65721,0.44551,1.11021,2.50172,1.12391,0.000285236,0.000285236,0.000285236
12,11.8255,1.04224,1.55062,1.13777,0.62581,0.46825,0.65158,0.43786,1.1364,2.4786,1.17694,0.000310774,0.000310774,0.000310774
